season,date,home,away,ht_home,ht_away,ft_home,ft_away
2023,2023-08-11,Al-Ahli Jeddah,Al-Hazm,2,0,3,1
2023,2023-08-12,Al Taee,Damac,0,0,1,0
2023,2023-08-12,Al-Fayha,Al Khaleej Saihat,2,0,3,1
2023,2023-08-13,Al-Fateh,Al Taawon,1,1,1,1
2023,2023-08-13,Al Riyadh,Al Wehda Club,1,0,1,0
2023,2023-08-14,Al-Raed,Al-Ittihad FC,0,0,0,3
2023,2023-08-14,Abha,Al-Hilal Saudi FC,1,1,1,3
2023,2023-08-14,Al-Ettifaq,Al-Nassr,0,1,2,1
2023,2023-08-14,Al Shabab,Al Akhdoud,0,1,1,1
2023,2023-08-17,Damac,Al Riyadh,0,2,2,2
2023,2023-08-17,Al Khaleej Saihat,Al-Ahli Jeddah,0,2,1,3
2023,2023-08-18,Al Akhdoud,Al-Fateh,1,2,1,3
2023,2023-08-18,Al Wehda Club,Al Shabab,2,0,3,1
2023,2023-08-18,Al-Nassr,Al Taawon,0,1,0,2
2023,2023-08-18,Al-Hazm,Al-Ettifaq,0,1,0,2
2023,2023-08-19,Abha,Al-Raed,0,0,1,0
2023,2023-08-19,Al-Hilal Saudi FC,Al-Fayha,1,1,1,1
2023,2023-08-19,Al-Ittihad FC,Al Taee,0,0,2,0
2023,2023-08-24,Al Taee,Al Wehda Club,0,1,0,3
2023,2023-08-24,Al-Ahli Jeddah,Al Akhdoud,0,0,1,0
2023,2023-08-24,Al-Ettifaq,Al Khaleej Saihat,0,1,1,1
2023,2023-08-24,Al-Raed,Al-Hilal Saudi FC,0,1,0,4
2023,2023-08-24,Al Riyadh,Al-Ittihad FC,0,3,0,4
2023,2023-08-25,Al-Fayha,Al-Hazm,0,0,0,0
2023,2023-08-25,Al-Fateh,Al-Nassr,0,2,0,5
2023,2023-08-25,Al Taawon,Abha,0,0,1,0
2023,2023-08-25,Al Shabab,Damac,0,0,1,1
2023,2023-08-28,Abha,Al-Fayha,1,0,2,1
2023,2023-08-28,Al-Hilal Saudi FC,Al-Ettifaq,2,0,2,0
2023,2023-08-28,Al-Raed,Al Riyadh,2,0,3,0
2023,2023-08-28,Al Wehda Club,Al-Ittihad FC,0,0,0,3
2023,2023-08-29,Damac,Al-Fateh,2,0,2,2
2023,2023-08-29,Al Akhdoud,Al Taawon,0,1,0,1
2023,2023-08-29,Al Khaleej Saihat,Al-Hazm,1,0,1,1
2023,2023-08-29,Al-Ahli Jeddah,Al Taee,1,0,2,0
2023,2023-08-29,Al-Nassr,Al Shabab,3,0,4,0
2023,2023-09-01,Al Taee,Abha,0,0,1,0
2023,2023-09-01,Al-Fayha,Al-Raed,0,0,0,0
2023,2023-09-01,Al-Ittihad FC,Al-Hilal Saudi FC,3,1,3,4
2023,2023-09-01,Al Riyadh,Al Akhdoud,0,0,0,1
2023,2023-09-02,Al-Fateh,Al-Ahli Jeddah,1,1,5,1
2023,2023-09-02,Al-Ettifaq,Damac,2,1,3,1
2023,2023-09-02,Al Taawon,Al Wehda Club,2,0,4,1
2023,2023-09-02,Al Shabab,Al Khaleej Saihat,1,1,1,3
2023,2023-09-02,Al-Hazm,Al-Nassr,0,2,1,5
2023,2023-09-14,Al Akhdoud,Al-Ittihad FC,0,0,0,1
2023,2023-09-14,Al Wehda Club,Damac,2,1,4,2
2023,2023-09-15,Al-Fayha,Al Shabab,0,0,0,1
